Time,CPU(%),RAM(MB)
2025-12-03 19:59:50,0.0,45.4
2025-12-03 19:59:55,0.0,45.4
2025-12-03 20:00:00,0.0,45.4
2025-12-03 20:00:05,0.0,45.4
2025-12-03 20:00:10,0.0,45.4
2025-12-03 20:00:15,0.0,45.4
2025-12-03 20:00:20,0.0,45.4
2025-12-03 20:00:25,0.0,45.4
2025-12-03 20:00:30,0.0,45.4
2025-12-03 20:00:35,0.0,45.4
2025-12-03 20:05:46,0.0,45.5
2025-12-03 20:05:51,0.0,45.5
2025-12-03 20:12:14,0.0,45.3
2025-12-03 20:12:19,0.0,45.3
2025-12-03 20:12:24,0.0,45.4
2025-12-03 20:12:29,0.0,45.8
2025-12-03 20:12:34,0.0,45.9
2025-12-03 20:12:40,0.0,45.9
2025-12-03 20:12:45,0.0,45.9
2025-12-03 20:19:46,0.0,45.5
2025-12-03 20:19:51,0.0,45.6
2025-12-03 20:19:56,0.0,45.6
2025-12-03 20:20:01,0.0,45.6
2025-12-03 20:20:06,0.0,45.6
2025-12-03 20:21:26,0.0,50.0
2025-12-03 20:21:31,0.0,50.2
2025-12-03 20:21:36,0.0,50.2
2025-12-03 20:21:41,0.0,50.2
2025-12-03 20:21:46,0.0,50.2
2025-12-03 20:21:51,0.0,50.2
2025-12-03 20:21:56,0.0,50.2
2025-12-03 20:22:01,0.0,50.2
2025-12-03 20:22:06,0.0,50.2
2025-12-03 20:25:02,0.0,49.8
2025-12-03 20:25:07,0.0,49.8
2025-12-03 20:25:12,0.0,49.8
2025-12-03 20:25:17,0.0,49.8
2025-12-03 20:25:22,0.0,49.8
2025-12-03 20:25:27,0.0,49.9
2025-12-03 20:25:32,0.0,49.9
2025-12-03 20:25:37,0.0,49.9
2025-12-03 20:25:42,0.0,49.8
2025-12-03 20:25:47,0.0,49.9
2025-12-03 20:25:52,0.0,49.8
2025-12-03 20:35:30,0.0,49.8
2025-12-03 20:35:35,0.0,49.8
2025-12-03 20:35:40,0.0,49.8
2025-12-03 20:35:45,0.0,49.8
2025-12-03 20:35:50,0.0,49.8
2025-12-03 20:35:55,0.0,49.9
2025-12-03 20:36:00,0.0,49.9
2025-12-03 20:36:05,0.0,49.9
2025-12-03 20:38:42,0.0,49.9
2025-12-03 20:38:47,0.0,49.9
2025-12-03 20:38:52,0.0,49.9
2025-12-03 20:38:58,0.0,49.9
2025-12-03 20:39:03,0.0,49.9
2025-12-03 20:41:24,0.0,50.0
2025-12-03 20:41:29,0.0,50.0
2025-12-03 20:41:34,0.0,50.0
2025-12-03 20:41:39,0.0,50.0
2025-12-03 20:46:22,0.0,49.9
2025-12-03 20:46:27,0.0,49.9
2025-12-03 20:46:32,0.0,49.9
2025-12-03 20:46:37,0.0,49.9
2025-12-03 20:46:42,0.0,49.9
2025-12-03 20:46:47,0.0,49.9
2025-12-03 20:46:52,0.0,49.9
2025-12-03 20:46:58,0.0,49.9
2025-12-03 20:47:03,0.0,49.9
2025-12-03 20:47:08,0.0,49.9
2025-12-03 20:47:13,0.0,49.9
2025-12-03 20:47:18,0.0,49.9
2025-12-03 20:47:23,0.0,49.9
2025-12-03 20:47:28,0.0,49.9
2025-12-03 20:47:33,0.0,49.9
2025-12-03 20:47:38,0.0,49.9
2025-12-03 20:47:44,0.0,49.9
2025-12-03 20:47:49,0.0,49.9
2025-12-03 20:47:54,0.0,49.9
2025-12-03 20:47:59,16.6,49.9
2025-12-03 20:48:04,0.0,49.9
2025-12-03 20:48:09,0.0,49.9
2025-12-03 20:48:14,0.0,49.9
2025-12-03 20:48:23,0.0,49.9
2025-12-03 20:48:28,0.0,49.9
2025-12-03 20:48:33,0.0,49.9
2025-12-03 20:48:38,0.0,49.9
2025-12-03 20:48:44,0.0,49.9
2025-12-03 20:48:49,0.0,49.9
2025-12-03 20:52:15,0.0,49.8
2025-12-03 20:52:20,0.0,49.8
2025-12-03 20:52:25,0.0,50.8
2025-12-03 20:52:31,16.6,50.8
2025-12-03 20:52:36,0.0,50.8
2025-12-03 20:52:41,0.0,50.9
2025-12-03 20:52:46,0.0,50.9
2025-12-03 20:52:51,0.0,50.9
2025-12-03 20:52:56,0.0,51.0
2025-12-03 20:53:01,0.0,51.0
2025-12-03 20:53:06,0.0,51.0
2025-12-03 20:53:11,0.0,51.0
2025-12-03 20:53:17,0.0,51.0
2025-12-03 20:53:22,16.6,50.9
2025-12-03 20:53:27,0.0,51.0
2025-12-03 20:53:32,0.0,51.0
2025-12-03 20:57:20,0.0,49.9
2025-12-03 20:57:25,0.0,49.9
2025-12-03 20:57:30,0.0,49.9
2025-12-03 20:57:35,0.0,50.8
2025-12-03 20:57:40,0.0,50.8
2025-12-03 20:57:45,0.0,50.9
2025-12-03 20:57:51,0.0,50.9
2025-12-03 20:57:56,0.0,51.0
2025-12-03 20:58:01,0.0,51.0
2025-12-03 20:58:06,0.0,51.0
2025-12-03 20:58:11,0.0,51.0
2025-12-03 20:58:16,0.0,51.1
2025-12-03 20:58:21,0.0,51.1
2025-12-03 20:58:26,0.0,51.1
